"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PITX2",-4.15089194916797,10.4807834531113,-11.4180833985435,5.6760743267232e-09,9.92348074541017e-05,9.90420460530014
"ALX1",-1.35115475109766,6.99370789711328,-9.41086546627671,6.20492872624891e-08,0.000415050147104162,8.0466899278701
"CHI3L1",-4.72873951396875,12.0098482654375,-9.49538661701253,7.12206395534225e-08,0.000415050147104162,7.91391883708827
"ZFPM2",-1.9677492103125,7.30844835989063,-8.40779857357475,3.3250073906546e-07,0.00145327760527036,6.63220072259993
"DDIT4L",-1.69515642436523,7.24170125883691,-7.893999578595,7.15388457110199e-07,0.00234262489449651,5.97573593415171
"EN1",-1.56708003387305,7.40151479478223,-7.77188228076777,8.18760838018701e-07,0.00234262489449651,5.85942858737794
"TBX15",1.39016005306445,10.1247039584189,7.6696336249498,9.37961120029491e-07,0.00234262489449651,5.74126978939685
"RBP4",-3.51153153468945,9.53491771152637,-7.32761794440957,1.99854594536292e-06,0.00397730960743102,5.07849276285428
"EMX2OS",-3.58216558994336,9.06119551728223,-6.96762022420627,3.68259573894111e-06,0.00459877295027911,4.53776751872741
"FIBIN",-1.31657670233203,8.1219658761543,-6.80212000988661,4.19017936701447e-06,0.00488379372490093,4.41813128773946
"FPR1",-1.23280489675781,8.82934950540234,-6.69569224116066,5.07017375907712e-06,0.00521422634293795,4.24739228854104
"EMX2",-2.86204868578906,8.5161528105625,-6.66176407372901,6.27561632072808e-06,0.00590162465418193,4.06180323215013
"AUTS2",-1.16789972327735,10.9103221400488,-6.44024579500213,8.06274963934823e-06,0.00641082995724359,3.83003634956705
"PBX1",-1.14939673509375,8.17557280382812,-6.3775515295328,9.04734676708459e-06,0.006462553524814,3.72597847699562
"FBXO32",-1.92662332440625,10.6603555368828,-6.38856848565293,1.02126657187929e-05,0.00673625958542866,3.62372410483272
"GDF6",1.34114261651953,9.65653646036133,6.1831644969998,1.29763406663751e-05,0.0078229435817323,3.39928825908283
"LYN",-1.28167231646094,9.02900565230859,-6.12667466668639,1.44241464327671e-05,0.00840591173613557,3.30320687293559
"MFAP2",-1.60451207290235,11.3641979223848,-6.08078826441009,1.67705448268794e-05,0.009458046297043,3.17034281624013
"NINJ1",-1.12316931289063,13.2831794976172,-5.98978008715382,1.86721620281933e-05,0.0102014190230907,3.06824966603264
"HOXA3",-1.17393063939063,8.32797930732227,-5.87966250750975,2.30233758564482e-05,0.0111810466693968,2.87709267918341
"DPYSL3",-1.49423714253907,13.8315118051758,-5.86769902304573,2.45208877749957e-05,0.0112815442360592,2.82256747357337
"MGP",-2.10990774747266,10.052548806377,-5.84361061100573,2.78146025993084e-05,0.0117791178131385,2.71361786923964
"C11orf87",1.80625664780664,10.7845676770459,5.70509627348405,3.61131765330107e-05,0.0140303703405917,2.47473334766998
"ADORA1",-1.20368399770508,7.39304693590918,-5.55258754286006,4.51473050722511e-05,0.0171589203169166,2.2637322554035
"SOX11",-1.85076469088867,7.66984401854004,-5.44911905939905,5.89018084420562e-05,0.0198422980097028,2.02547552937382
"MGST1",1.12960972199219,13.3729461830273,5.374694147355,6.14129416867813e-05,0.0198422980097028,1.97660782595998
"RASD1",-1.72765059955078,11.154584523584,-5.40017136677006,6.47408179645922e-05,0.0198572582539467,1.93844412009326
"CAPG",-1.02492812275977,11.9491596704131,-5.30497597458045,7.05022093944768e-05,0.0202489080242,1.84932003996558
"DACT3",-1.13192815299024,10.1150412311084,-5.29572372605369,7.18087454956472e-05,0.0202489080242,1.83237605092345
"CD55",-1.10667510129297,9.10094351394336,-5.28052770696176,7.40090571488817e-05,0.0205381007322841,1.80452094054741
